日時,ウィンドウタイトル
2025-12-23 17:13,C:\WINDOWS\system32\cmd.exe
2025-12-23 17:14,Veeamデータクラウド - Google Chrome
2025-12-23 17:15,localhost - Google Chrome
2025-12-23 17:16,Veeamデータクラウド - Google Chrome
2025-12-23 17:17,LINE WORKS
2025-12-23 17:18,マイ ノートブック - Google Chrome
2025-12-23 17:19,営業部 - 営業数字データ※廣川利用 - すべてのドキュメント - Google Chrome
2025-12-23 17:20,ダウンロード とその他 1 個のタブ - エクスプローラー
2025-12-23 17:21,UserSideMs　売上入力 - Google Chrome
2025-12-23 17:22,売上データ.xlsm - Excel
2025-12-23 17:23,SALES_SLIP.xls - Excel
2025-12-23 17:24,UserSideMs　受注入力画面 - Google Chrome
2025-12-23 17:25,UserSideMs 受注検索 - Google Chrome
2025-12-23 17:26,RORDER_SLIP.xls - Excel
2025-12-23 17:27,UserSideMs 受注検索 - Google Chrome
2025-12-23 17:28,Mailbox_Items_22_12_2025_12_08_17.zip とその他 1 個のタブ - エクスプローラー
2025-12-23 17:29,Veeamデータクラウド - Google Chrome
2025-12-23 17:30,Veeamデータクラウド - Google Chrome
2025-12-23 17:31,売上データ.xlsm - Excel
2025-12-23 17:32,Veeamデータクラウド - Google Chrome
2025-12-23 17:33,営業見通し管理表_ver.3.2.xlsx - Google Chrome
2025-12-23 17:34,営業見通し管理表_ver.3.2.xlsx - Google Chrome
2025-12-23 17:35,営業見通し管理表_ver.3.2.xlsx - Google Chrome
2025-12-23 17:36,営業見通し管理表_ver.3.2.xlsx - Google Chrome
2025-12-23 17:37,LINE WORKS
2025-12-23 17:38,LINE WORKS
2025-12-23 17:39,Veeamデータクラウド - Google Chrome
2025-12-23 17:40,Veeamデータクラウド - Google Chrome
2025-12-23 17:41,Veeamデータクラウド - Google Chrome
2025-12-23 17:42,売上データ.xlsm - Excel
2025-12-23 17:43,売上データ.xlsm - Excel
2025-12-23 17:44,顧客コード.xlsx - Google Chrome
2025-12-23 17:45,マイ ノートブック - Google Chrome
2025-12-23 17:46,検索と置換
2025-12-23 17:47,売上データ.xlsm - Excel
2025-12-23 17:48,売上データ.xlsm - Excel
2025-12-23 17:49,顧客コード.xlsx - Google Chrome
2025-12-23 17:50,Veeamデータクラウド - Google Chrome
2025-12-23 17:51,ダウンロード - エクスプローラー
2025-12-23 17:52,アカウントにサインイン - Google Chrome
2025-12-23 17:53,Veeam Data Cloud - Google Chrome
2025-12-23 17:54,Veeam Data Cloud - Google Chrome
2025-12-23 17:55,顧客コード.xlsx - Google Chrome
2025-12-23 17:56,売上データ.xlsm - Excel
2025-12-23 17:57,ダウンロード履歴 - Google Chrome
2025-12-23 17:58,Veeam Data Cloud - Google Chrome
2025-12-23 17:59,Veeam Data Cloud - Google Chrome
2025-12-23 18:00,Veeam Data Cloud - Google Chrome
2025-12-23 18:01,Veeam Data Cloud - Google Chrome
2025-12-23 18:02,Veeam Data Cloud - Google Chrome
2025-12-23 18:03,Veeam Data Cloud - Google Chrome
2025-12-23 18:04,ダウンロード とその他 1 個のタブ - エクスプローラー
2025-12-23 18:05,Veeam Data Cloud - Google Chrome
2025-12-23 18:06,2 件の実行中のアクション
2025-12-23 18:07,akasaka.kazuyuki とその他 1 個のタブ - エクスプローラー
2025-12-23 18:08,ファイルの置換またはスキップ
2025-12-23 18:09,Veeam Data Cloud - Google Chrome
2025-12-23 18:10,Veeam Data Cloud - Google Chrome
2025-12-23 18:11,Veeam Data Cloud - Google Chrome
2025-12-23 18:12,19% 完了
2025-12-23 18:13,LINE WORKS
2025-12-23 18:14,Windows の既定のロック画面
2025-12-23 18:15,Windows の既定のロック画面
2025-12-23 19:19,IDLE/Locked
2025-12-23 20:10,IDLE/Locked
2025-12-23 20:11,IDLE/Locked
2025-12-23 21:29,IDLE/Locked
2025-12-24 04:06,IDLE/Locked
2025-12-24 04:07,IDLE/Locked
2025-12-24 04:08,IDLE/Locked
2025-12-24 04:09,IDLE/Locked
2025-12-24 04:10,IDLE/Locked
2025-12-24 04:12,IDLE/Locked
2025-12-24 05:13,IDLE/Locked
2025-12-24 05:14,IDLE/Locked
2025-12-24 05:15,IDLE/Locked
2025-12-24 05:16,IDLE/Locked
2025-12-24 05:17,IDLE/Locked
2025-12-24 06:06,IDLE/Locked
2025-12-24 09:09,IDLE/Locked
2025-12-24 09:10,Veeam Data Cloud - Google Chrome
2025-12-24 09:11,Veeam Data Cloud - Google Chrome
2025-12-24 09:12,社内Veeamバックアップ
2025-12-24 09:13,Veeam Data Cloud - Google Chrome
2025-12-24 09:14,Greenshot イメージ エディター
2025-12-24 09:15,Greenshot イメージ エディター
2025-12-24 09:16,LINE WORKS
